in:r-value,in:Hd,in:Vd,in:WWRscale,out:Lower_E,out:LowerMid_E,out:UpperMid_E,out:Upper_NE,out:Lower_NW,out:LowerMid_NW,out:UpperMid_NW,out:Upper_NW,out:Lower_W,out:LowerMid_W,out:UpperMid_W,img
0.45,0.35,0.35,60%,44.6,45.3,46.7,60.4,51.2,52.4,57.9,57.0,45.9,47.2,48.5,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value0.45_Hd0.35_Vd0.35_WWRscale0.png
1.1,0.35,0.35,60%,43.9,44.6,45.9,58.0,49.2,50.3,55.9,55.4,44.9,46.1,47.3,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value1.1_Hd0.35_Vd0.35_WWRscale0.png
2.2,0.35,0.35,60%,43.6,44.3,45.6,57.0,48.3,49.4,55.0,54.7,44.4,45.6,46.7,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value2.2_Hd0.35_Vd0.35_WWRscale0.png
0.45,0.45,0.35,60%,44.5,45.2,46.7,60.0,51.0,52.1,57.7,56.7,45.7,47.1,48.4,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value0.45_Hd0.45_Vd0.35_WWRscale0.png
1.1,0.45,0.35,60%,43.9,44.6,45.9,57.7,49.0,50.1,55.7,55.2,44.7,45.9,47.1,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value1.1_Hd0.45_Vd0.35_WWRscale0.png
2.2,0.45,0.35,60%,43.6,44.3,45.5,56.7,48.1,49.2,54.8,54.4,44.3,45.4,46.6,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value2.2_Hd0.45_Vd0.35_WWRscale0.png
0.45,0.35,0.45,60%,44.5,45.2,46.6,59.8,50.8,51.9,57.3,56.4,45.5,46.8,48.2,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value0.45_Hd0.35_Vd0.45_WWRscale0.png
1.1,0.35,0.45,60%,43.8,44.6,45.8,57.5,48.8,49.9,55.4,54.8,44.6,45.7,46.9,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value1.1_Hd0.35_Vd0.45_WWRscale0.png
2.2,0.35,0.45,60%,43.6,44.2,45.5,56.5,47.9,49.0,54.5,54.1,44.1,45.2,46.4,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value2.2_Hd0.35_Vd0.45_WWRscale0.png
0.45,0.45,0.45,60%,44.4,45.2,46.6,59.5,50.6,51.7,57.1,56.2,45.4,46.7,48.1,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value0.45_Hd0.45_Vd0.45_WWRscale0.png
1.1,0.45,0.45,60%,43.8,44.5,45.8,57.2,48.6,49.7,55.1,54.6,44.4,45.6,46.8,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value1.1_Hd0.45_Vd0.45_WWRscale0.png
2.2,0.45,0.45,60%,43.5,44.2,45.4,56.2,47.7,48.8,54.2,53.9,44.0,45.1,46.3,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value2.2_Hd0.45_Vd0.45_WWRscale0.png
0.45,0.35,0.35,45%,43.5,44.5,45.2,58.6,49.6,50.0,54.1,55.0,44.5,45.6,46.4,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value0.45_Hd0.35_Vd0.35_WWRscale1.png
1.1,0.35,0.35,45%,42.2,43.3,43.4,55.3,46.7,46.8,50.6,52.4,42.8,43.7,44.0,https://raw.githubusercontent.com/sh-if/de/refs/heads/main/Campsie_run01/r-value1.1_Hd0.35_Vd0.35_WWRscale1.png
