in:Offset,in:WWR2,out:0Upper_sDA,out:1Middle_sDA,out:2Lower_sDA,out:3Upper_UDI_Glare,out:4Middle_UDI_Glare,out:5Lower_UDI_Glare
-10000,0.3,73.076138,56.914286,47.638095,26.005307,4.971429,4.971429
-20000,0.3,62.808736,49.657143,47.638095,11.757502,5.009524,5.009524
-30000,0.3,62.522964,49.352381,47.52381,7.71586,4.952381,4.952381
-40000,0.3,54.07226,40.933333,47.771429,5.266381,4.952381,4.952381
-10000,0.5,83.935497,78.895238,77.542857,35.701164,10.838095,10.838095
-20000,0.5,75.648091,75.67619,77.485714,19.065115,10.87619,10.87619
-30000,0.5,75.117371,75.2,77.67619,14.594815,10.838095,10.838095
-40000,0.5,70.606246,66.019048,77.657143,11.941212,10.857143,10.857143
-10000,0.7,90.426618,93.047619,97.714286,42.518881,17.580952,17.580952
-20000,0.7,84.037559,91.27619,97.333333,26.107369,17.504762,17.504762
-30000,0.7,83.710961,91.238095,97.371429,20.657277,17.638095,17.638095
-40000,0.7,80.526638,84.152381,97.314286,17.779139,17.6,17.6
